金川区各镇 (街道) 所辖社区 (小区) 统计表,,,
序号,镇 (街道) 名称,所含村 (社区),所含小区名称
1,滨河路街道 (5),龙泉里社区,"紫荆花园、2号区、紫金公馆、龙泉家园、西部天地高层、
龙川家园、干休院"
,,龙集里社区,白泉村、7号区、聚金润园
,,龙岗里社区,金百家属楼、邮政家属楼、龙泉雅苑、6号区
,,龙云里社区,华芳家园、宁建大院、地税家属院、三星大院、天庆家园
,,龙广里社区,广厦花园、聚金怡园、新金源小区、丽景西苑
2,北京路街道 (2),龙门里社区,3号区住宅小区
,,金冶里社区,5号区、8号区住宅小区
3,金川路街道 (6),金水里社区,"一公司院、二公司院、9区公司院、金水湾A区、金水湾B区、
电信院、环卫局家属院、社区门前零散楼栋"
,,金都里社区,"金都家园、二公司院、五公司院、荣昌家园、供销院、移动
家属院、建行院、农行院、独1、2栋"
,,金阳里社区,"11区、12区、中港PARK、电影南北楼、铭峰首座、金汇
苑供销家属楼、人防家属楼、金融小苑、邮政家属院"
,,金谷里社区,"13区、供销家属院、温州商住楼、丽景苑小区、石油公司
家属院、金三角商厦高层、公园家属楼"
,,金芝里社区,"金芝家园、裕丰花园、八冶小区、公司小区、八冶家属院、
祥达小区"
,,金建里社区,"八冶自管小区、农行家属院、工行家属院、新公司院、
老公司院、丽舍家园、新华书店家属院"
4,新华路街道(6),昌荣里社区,"昌荣新城、供电家属院、上层领地、烟草公司家属院、
15区政府巷西、公检法家属楼、水务局家属楼、供热家属楼、保险、石油家属院、金源小区、复训队、14区、15区"
,,昌都里社区,"上海路街景房、阳光华庭、天润嘉园、世纪金都、
世纪金都西区、恒昌一品、金源新区、天象尚居、
恒昌首府、白家嘴公租房、白家嘴新村"
,,昌泰里社区,"恒昌国际、恒昌花园、恒昌豪庭、26区、文教苑、
市财政局家属楼、市人大政协家属楼、德庄巷、国红华昌、
体育楼、文武公寓、广电楼、武装部家属楼、天象尊品"
,,昌安里社区,"香格里拉、金盛华城、金盛金水湾、力昌公园里、
新川化工宿舍楼、宜和居、西坡天庆二期"
,,昌丰里社区,八冶颐养、恒昌华府、龙泉花园、金沙公馆、龙首一号
,,昌达里社区,"金域名都、融兴嘉苑、昌达花园、龙庭佳苑、
原毛纺厂家属楼、鲜花云溪、国芳雍景苑"
5,广州路街道(3),宝晶里社区,19区
,,宝运里社区,21区
,,天源里社区,高岸子天庆、金泥家属院、金湖润园
6,桂林路街道(4),宝林里社区,金川公司22号住宅小区、金辰丽苑、亨美花园、金都花园(六中对面) 、公路段家属院、宝林家园以及王平楼、宁中楼等东西巷零散楼院
,,宝星里社区,"公司20区、天瑞花园、昌泰安置家园、宝星花园、昌泰嘉堡、
聚金馨园、金都花园(昌泰市场) 、怡景园、鲁城新居、东辰花园国税家属楼、宝星巷8栋、宝崖巷1株、柴家院、双建5号家属楼、两栖院、双建家属院、镍城花园、三星大院、供销家属院、六和居、二建家属楼"
,,昌文里社区,25号小区、四号果园
,,昌福里社区,27区、长泰家园、昌泰绿洲家园、金港花园、春诚花园、金和花园、畜产品家属楼
7,宁远堡镇 (14),"白家嘴村、西坡村、马家崖村、高崖子村、中牌村、龙景村、宁远村、
东湾村、西湾村、新安村、山湾村、新华村、下四分村、油籽洼村",
8,双湾镇 (13),"龙源村、龙寨村、三角城村， 陈家沟村， 昔盘村、九个井村、新粮地村、
许家沟村、金河村、天生炕村、康盛村、古城村、龙口村",
